nome_hotel,prezzo_iniziale,prezzo,credito_guadagnato,stanza,città,data,punteggio,stelle,stelle_booking,partner_preferiti,novita,evidenza,numero_recensioni,distanza_centro,genius,offerte,colazione_inclusa,senza_pagamento_anticipato,cancellazione_gratuita,os,username,user_agent_type,TIMESTAMP
Via Roma 315 Bed and Breakfast,€ 114,€ 114,,Camera Tripla con Bagno Privato,"Castellammare Vucciria, Palermo",2024-06-15,"9,4
Punteggio di 9,4",,4.0,preferred,False,False,364 recensioni,450 m dal centro,False,,False,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Casa Nostra B&B,€ 154,€ 139,,Camera King Superior,"Monte di Pietà, Palermo",2024-06-15,"7,7
Punteggio di 7,7",,3.0,preferred,False,False,246 recensioni,300 m dal centro,True,,True,True,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Hotel Europa,€ 66,€ 66,,Camera Matrimoniale Economy,"Ruggero Settimo, Palermo",2024-06-15,"7,1
Punteggio di 7,1",3.0,,,False,False,988 recensioni,1 km dal centro,False,,True,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Al Baglio di Maqueda,€ 54,€ 49,,Camera Doppia con Letti Singoli,"Albergaria, Palermo",2024-06-15,"6,7
Punteggio di 6,7",,3.0,,False,False,518 recensioni,"1,4 km dal centro",True,,False,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Posto al Capo,€ 90,€ 81,,Camera Matrimoniale Deluxe con Doccia,"Monte di Pietà, Palermo",2024-06-15,"8,9
Punteggio di 8,9",,3.0,,False,False,360 recensioni,300 m dal centro,True,,False,False,False,MacOS,pantilaura56,desktop,05-07-2024---14:37
NH Palermo,€ 164,€ 164,,Camera Standard Matrimoniale/Doppia con Letti Singoli,"La Kalsa, Palermo",2024-06-15,"7,8
Punteggio di 7,8",4.0,,preferred,False,False,3.552 recensioni,"1,7 km dal centro",False,,False,False,False,MacOS,pantilaura56,desktop,05-07-2024---14:37
Sky Sleeping,€ 120,€ 85,,Camera Matrimoniale/Doppia con Letti Singoli,Palermo,2024-06-15,"7,7
Punteggio di 7,7",,3.0,preferred,False,False,184 recensioni,"0,9 km dal centro",True,Offerta a tempo limitato ,False,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Alba central City,€ 76,€ 76,,Camera Matrimoniale con Servizi Igienici in Comune,"Borgo vecchio, Palermo",2024-06-15,"8,3
Punteggio di 8,3",,,preferred,False,False,1.281 recensioni,"0,6 km dal centro",False,,True,True,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Binario 91 Rooms,€ 141,€ 103,Guadagna € 7 di Credito,Camera Matrimoniale Piccola con Balcone,Palermo,2024-06-15,"9,2
Punteggio di 9,2",,3.0,preferred_plus,False,False,282 recensioni,"1,6 km dal centro",True,Offerta Vacanze ,False,False,False,MacOS,pantilaura56,desktop,05-07-2024---14:37
Palermo Rooms,€ 94,€ 85,,Camera Matrimoniale Comfort,"Borgo vecchio, Palermo",2024-06-15,"8,0
Punteggio di 8,0",,3.0,preferred,False,False,185 recensioni,"1,1 km dal centro",True,,False,True,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Liberty Suites,€ 141,€ 115,Guadagna € 8 di Credito,Camera Matrimoniale Superior,"Ruggero Settimo, Palermo",2024-06-15,"8,6
Punteggio di 8,6",,4.0,preferred_plus,False,False,903 recensioni,500 m dal centro,True,,False,False,False,MacOS,pantilaura56,desktop,05-07-2024---14:37
B&b Glamour,€ 98,€ 88,,Camera Tripla,Palermo,2024-06-15,"7,9
Punteggio di 7,9",,3.0,,False,False,508 recensioni,250 m dal centro,True,,True,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Suite del Ponte Normanno,€ 109,€ 109,,Junior Suite Deluxe,Palermo,2024-06-15,"8,9
Punteggio di 8,9",,4.0,preferred,False,False,1.186 recensioni,"1,8 km dal centro",True,,False,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Hotel Bel 3,€ 105,€ 95,,Camera Matrimoniale Economy con Vista Parziale,Palermo,2024-06-15,"8,1
Punteggio di 8,1",3.0,,preferred,False,False,2.611 recensioni,"5,5 km dal centro",True,,True,False,False,MacOS,pantilaura56,desktop,05-07-2024---14:37
