nome_hotel,prezzo,stanza,città,data,punteggio,numero_recensioni,distanza_centro,genius,offerte,colazione_inclusa,senza_pagamento_anticipato,cancellazione_gratuita,os,username,user_agent_type,TIMESTAMP
La casa di Pè & Giò,€ 103,Appartamento con 1 Camera da Letto,Palermo,2024-03-20,"8,1",14 recensioni,"1,4 km dal centro",True,,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Suite del Barone by Wonderful Italy,€ 292,Appartamento Deluxe,"Castellammare Vucciria, Palermo",2024-03-20,"7,4",17 recensioni,400 m dal centro,True,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
I GIRASOLI SHORT LETS,€ 111,Appartamento con 3 Camere da Letto,Palermo,2024-03-20,"9,8",4 recensioni,"2,3 km dal centro",True,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
Garden House Mondello Palermo,€ 107,Casa con 2 Camere da Letto,Palermo,2024-03-20,"7,2",16 recensioni,"8,3 km dal centro",True,,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Florio House,€ 67,Camera Matrimoniale Superior,Palermo,2024-03-20,,,"3,7 km dal centro",False,,True,True,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Oreto Bridge,€ 146,Appartamento con 1 Camera da Letto e Terrazza,Palermo,2024-03-20,"8,6",20 recensioni,"2,3 km dal centro",True,,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Stanze Di Leo,€ 58,Camera Doppia con Letti Singoli con Vista Città,Palermo,2024-03-20,"7,5",207 recensioni,"1,8 km dal centro",False,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
B&B La Tua Dimora,€ 129,Camera Matrimoniale con Bagno Privato Esterno,Palermo,2024-03-20,"8,8",653 recensioni,"0,5 km dal centro",True,,True,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
Casa Kirribilli Palermo,€ 104,Appartamento con 2 Camere da Letto,Palermo,2024-03-20,"9,5",33 recensioni,"0,9 km dal centro",True,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
Il Regno delle Due Sicilie I,€ 89,Appartamento con 3 Camere da Letto,Palermo,2024-03-20,"7,8",12 recensioni,2 km dal centro,False,,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Mondello - Addaura - Le Dimore dello Zodiaco - Dimora della Bilancia,€ 274,Appartamento con 2 Camere da Letto,Palermo,2024-03-20,"7,6",14 recensioni,"7,9 km dal centro",True,,True,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
dallo Zio Totò,€ 100,Camera Matrimoniale con Bagno Privato,Palermo,2024-03-20,"8,9",75 recensioni,"10,1 km dal centro",False,,False,True,True,Linux,pantilaura56,desktop,03-04-2024---12:49
